no_sampel,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Inc,Loan_Amount,Term,Credit_History,Area,Status
381,Male,Yes,0,Graduate,Yes,333300,250000,12800000,360,1,Rural,Y
382,Male,No,0,Graduate,No,594100,423200,29600000,360,1,Rural,Y
383,Female,No,0,Graduate,No,600000,0,15600000,360,1,Urban,Y
384,Male,No,0,Graduate,Yes,716700,0,12800000,360,1,Urban,Y
385,Male,Yes,2,Graduate,No,456600,0,10000000,360,1,Urban,N
386,Male,No,1,Graduate,Yes,366700,0,11300000,180,1,Urban,Y
387,Male,No,0,Not Graduate,No,234600,160000,13200000,360,1,Rural,Y
388,Male,Yes,0,Not Graduate,No,301000,313600,0,360,0,Urban,N
389,Male,Yes,0,Graduate,No,233300,241700,13600000,360,1,Urban,Y
390,Male,Yes,0,Graduate,No,548800,0,12500000,360,1,Rural,Y
391,Male,No,3,Graduate,No,916700,0,18500000,360,1,Rural,Y
392,Male,Yes,3,Graduate,No,950400,0,27500000,360,1,Rural,Y
393,Male,Yes,0,Graduate,No,258300,211500,12000000,360,NA,Urban,Y
394,Male,Yes,2,Not Graduate,No,199300,162500,11300000,180,1,Rural,Y
395,Male,Yes,2,Graduate,No,310000,140000,11300000,360,1,Urban,Y
396,Male,Yes,2,Graduate,No,327600,48400,13500000,360,NA,Rural,Y
397,Female,No,0,Graduate,No,318000,0,7100000,360,0,Urban,N
398,Male,Yes,0,Graduate,No,303300,145900,9500000,360,1,Urban,Y
399,Male,No,0,Not Graduate,No,390200,166600,10900000,360,1,Rural,Y
401,Male,Yes,2,Not Graduate,No,288900,0,4500000,180,0,Urban,N
402,Male,No,0,Not Graduate,No,275500,0,6500000,300,1,Rural,N
403,Male,No,0,Graduate,No,250000,2.00E+06,10300000,360,1,Rural,Y
404,Female,No,0,Not Graduate,No,196300,0,5300000,360,1,Rural,Y
405,Female,No,0,Graduate,Yes,744100,0,19400000,360,1,Rural,N
406,Female,No,0,Graduate,No,454700,0,11500000,360,1,Rural,Y
407,Male,Yes,0,Not Graduate,No,216700,240000,11500000,360,1,Urban,Y
408,Female,No,0,Not Graduate,No,221300,0,6600000,360,1,Rural,Y
411,Female,No,1,Not Graduate,Yes,386700,0,6200000,360,1,Rural,N
412,Male,Yes,0,Graduate,Yes,625600,0,16000000,360,NA,Urban,Y
413,Male,Yes,0,Not Graduate,No,609600,0,21800000,360,0,Rural,N
414,Male,Yes,0,Not Graduate,No,225300,203300,11000000,360,1,Rural,Y
415,Female,Yes,0,Not Graduate,No,214900,323700,17800000,360,0,Rural,N
416,Female,No,0,Graduate,No,299500,0,6000000,360,1,Urban,Y
417,Female,No,1,Graduate,No,260000,0,16000000,360,1,Urban,N
418,Male,Yes,2,Graduate,Yes,160000,2.00E+06,23900000,360,1,Urban,N
419,Male,Yes,0,Graduate,No,102500,277300,11200000,360,1,Rural,Y
420,Male,Yes,0,Graduate,No,324600,141700,13800000,360,1,Rural,Y
421,Male,Yes,0,Graduate,No,582900,0,13800000,360,1,Rural,Y
422,Female,No,0,Not Graduate,No,272000,0,8000000,NA,0,Urban,N
423,Male,Yes,0,Graduate,No,182000,171900,10000000,360,1,Urban,Y
424,Male,Yes,1,Graduate,No,725000,166700,11000000,NA,0,Urban,N
425,Male,Yes,0,Graduate,No,1488000,0,9600000,360,1,Rural,Y
426,Male,Yes,0,Graduate,No,266600,430000,12100000,360,1,Rural,Y
427,Female,No,1,Not Graduate,No,460600,0,8100000,360,1,Rural,N
428,Male,Yes,2,Graduate,No,593500,0,13300000,360,1,Rural,Y
429,Male,Yes,0,Graduate,No,292000,1612.000084,8700000,360,1,Rural,Y
430,Male,No,0,Not Graduate,No,271700,0,6000000,180,1,Urban,Y
431,Female,No,1,Graduate,Yes,862400,0,15000000,360,1,Rural,Y
432,Male,No,0,Graduate,No,650000,0,10500000,360,0,Rural,N
433,Male,No,0,Graduate,Yes,1287600,0,40500000,360,1,Rural,Y
434,Male,Yes,0,Graduate,No,242500,234000,14300000,360,1,Rural,Y
435,Male,No,0,Graduate,No,375000,0,10000000,360,1,Urban,Y
436,Female,No,6,Graduate,No,1004700,0,0,240,1,Rural,Y
437,Male,No,0,Graduate,No,192600,185100,5000000,360,1,Rural,Y
438,Male,Yes,0,Graduate,No,221300,112500,0,360,1,Urban,Y
439,Male,No,0,Graduate,Yes,1041600,0,18700000,360,0,Urban,N
440,Female,Yes,0,Not Graduate,Yes,714200,0,13800000,360,1,Rural,Y
441,Male,No,0,Graduate,No,366000,506400,18700000,360,1,Rural,Y
442,Male,Yes,0,Graduate,No,790100,183300,18000000,360,1,Rural,Y
444,Male,No,1,Graduate,No,3771900,0,15200000,360,1,Rural,Y
445,Male,Yes,0,Graduate,No,733300,833300,17500000,300,NA,Rural,Y
446,Male,Yes,1,Graduate,Yes,346600,121000,13000000,360,1,Rural,Y
447,Male,Yes,2,Not Graduate,No,465200,0,11000000,360,1,Rural,Y
448,Male,Yes,0,Graduate,Yes,353900,137600,5500000,360,1,Rural,N
449,Male,Yes,2,Graduate,No,334000,171000,15000000,360,0,Rural,N
450,Male,No,1,Not Graduate,Yes,276900,154200,19000000,360,NA,Rural,N
451,Male,Yes,2,Not Graduate,No,230900,125500,12500000,360,0,Rural,N
452,Male,Yes,2,Not Graduate,No,195800,145600,6000000,300,NA,Urban,Y
453,Male,Yes,0,Graduate,No,394800,173300,14900000,360,0,Rural,N
455,Male,No,0,Graduate,Yes,708500,0,8400000,360,1,Rural,Y
456,Male,Yes,2,Graduate,No,385900,0,9600000,360,1,Rural,Y
457,Male,Yes,0,Graduate,No,430100,0,11800000,360,1,Urban,Y
458,Male,Yes,0,Graduate,No,370800,256900,17300000,360,1,Urban,N
459,Male,No,2,Graduate,No,435400,0,13600000,360,1,Rural,Y
460,Male,Yes,0,Graduate,No,833400,0,16000000,360,1,Rural,N
461,Female,Yes,0,Graduate,Yes,208300,408300,16000000,360,NA,Rural,Y
462,Male,Yes,3,Graduate,No,774000,0,12800000,180,1,Urban,Y
463,Male,Yes,0,Graduate,No,301500,218800,15300000,360,1,Rural,Y
464,Female,No,1,Not Graduate,Yes,519100,0,13200000,360,1,Rural,Y
465,Male,No,0,Graduate,No,416600,0,9800000,360,0,Rural,N
466,Male,No,0,Graduate,No,600000,0,14000000,360,1,Rural,Y
467,Male,Yes,3,Not Graduate,No,294700,166400,7000000,180,0,Urban,N
468,Male,Yes,0,Graduate,No,1669200,0,11000000,360,1,Rural,Y
469,Female,Yes,2,Not Graduate,Yes,21000,291700,9800000,360,1,Rural,Y
470,Male,Yes,0,Graduate,No,433300,245100,11000000,360,1,Urban,N
471,Male,Yes,1,Graduate,Yes,345000,207900,16200000,360,1,Rural,Y
472,Male,Yes,1,Not Graduate,No,265300,150000,11300000,180,0,Rural,N
473,Male,Yes,4,Graduate,No,469100,0,10000000,360,1,Rural,Y
474,Female,No,0,Graduate,Yes,250000,0,9300000,360,NA,Urban,Y
475,Male,No,2,Graduate,No,553200,464800,16200000,360,1,Rural,Y
476,Male,Yes,2,Graduate,Yes,1652500,101400,15000000,360,1,Rural,Y
477,Male,Yes,2,Graduate,No,670000,175000,23000000,300,1,Rural,Y
478,Female,Yes,2,Graduate,No,287300,187200,13200000,360,0,Rural,N
479,Male,Yes,1,Graduate,Yes,1666700,225000,8600000,360,1,Rural,Y
480,Male,Yes,2,Graduate,No,294700,160300,0,360,1,Urban,N
481,Female,No,0,Not Graduate,No,435000,0,15400000,360,1,Rural,Y
483,Male,Yes,0,Graduate,No,208300,315000,12800000,360,1,Rural,Y
484,Male,Yes,0,Graduate,No,1083300,0,23400000,360,1,Rural,Y
485,Male,Yes,2,Graduate,No,833300,0,24600000,360,1,Rural,Y
486,Male,Yes,1,Not Graduate,No,195800,243600,13100000,360,1,Rural,Y
487,Male,No,2,Graduate,No,354700,0,8000000,360,0,Rural,N
488,Male,Yes,1,Graduate,No,1833300,0,50000000,360,1,Urban,N
489,Male,Yes,2,Graduate,Yes,458300,208300,16000000,360,1,Rural,Y
490,Male,No,0,Graduate,No,243500,0,7500000,360,1,Urban,N
491,Male,No,0,Not Graduate,No,269900,278500,9600000,360,NA,Rural,Y
492,Male,Yes,1,Not Graduate,No,533300,113100,18600000,360,NA,Urban,Y
493,Male,No,0,Not Graduate,No,369100,0,11000000,360,1,Rural,Y
494,Female,No,0,Not Graduate,Yes,1726300,0,22500000,360,1,Rural,Y
495,Male,Yes,0,Graduate,No,359700,215700,11900000,360,0,Rural,N
496,Female,Yes,1,Graduate,No,332600,91300,10500000,84,1,Rural,Y
497,Male,Yes,0,Not Graduate,No,260000,170000,10700000,360,1,Rural,Y
499,Male,Yes,1,Graduate,Yes,289500,0,9500000,360,1,Rural,Y
500,Male,No,0,Graduate,No,628300,441600,20900000,360,0,Rural,N
501,Female,No,0,Graduate,No,64500,368300,11300000,480,1,Rural,Y
502,Female,No,0,Graduate,No,315900,0,10000000,360,1,Rural,Y
503,Male,Yes,2,Graduate,No,486500,562400,20800000,360,1,Rural,Y
504,Male,Yes,1,Not Graduate,No,405000,530200,13800000,360,NA,Rural,N
505,Male,Yes,0,Not Graduate,No,381400,148300,12400000,300,1,Rural,Y
506,Male,Yes,2,Graduate,No,351000,441600,24300000,360,1,Rural,Y
507,Male,Yes,0,Graduate,No,2083300,666700,48000000,360,NA,Urban,Y
508,Male,No,0,Graduate,No,358300,0,9600000,360,1,Urban,N
509,Male,Yes,0,Graduate,Yes,247900,301300,18800000,360,1,Urban,Y
510,Female,No,1,Graduate,No,1326200,0,4000000,360,1,Urban,Y
511,Male,No,0,Not Graduate,No,359800,128700,10000000,360,1,Rural,N
512,Male,Yes,1,Graduate,No,606500,200400,25000000,360,1,Rural,Y
513,Male,Yes,2,Graduate,No,328300,203500,14800000,360,1,Urban,Y
514,Male,Yes,0,Graduate,No,213000,666600,7000000,180,1,Rural,N
515,Male,No,0,Graduate,No,581500,366600,31100000,360,1,Rural,N
516,Male,Yes,5,Graduate,No,346600,342800,15000000,360,1,Rural,Y
517,Female,Yes,2,Graduate,No,203100,163200,11300000,480,1,Rural,Y
518,Male,Yes,6,Not Graduate,No,307400,180000,12300000,360,0,Rural,N
519,Male,No,0,Graduate,No,468300,191500,18500000,360,1,Rural,N
520,Female,No,0,Not Graduate,No,340000,0,9500000,360,1,Rural,N
521,Male,Yes,2,Not Graduate,No,219200,174200,4500000,360,1,Rural,Y
522,Male,No,0,Graduate,No,250000,0,5500000,360,1,Rural,Y
524,Male,Yes,2,Graduate,Yes,794800,716600,48000000,360,1,Rural,Y
525,Male,No,0,Graduate,No,468000,208700,0,360,1,Rural,N
526,Male,Yes,2,Graduate,Yes,1750000,0,40000000,360,1,Rural,Y
527,Male,Yes,0,Graduate,No,377500,0,11000000,360,1,Rural,Y
528,Male,Yes,1,Not Graduate,No,528500,143000,16100000,360,0,Rural,Y
529,Male,No,1,Not Graduate,No,267900,130200,9400000,360,1,Rural,Y
530,Male,No,0,Not Graduate,No,678300,0,13000000,360,1,Rural,Y
531,Male,Yes,0,Graduate,No,102500,550000,21600000,360,NA,Rural,Y
533,Male,No,2,Graduate,No,358800,0,11000000,360,0,Rural,N
534,Male,No,1,Graduate,No,1125000,0,19600000,360,NA,Rural,N
535,Female,No,0,Not Graduate,Yes,1816500,0,12500000,360,1,Urban,Y
536,Male,No,0,Not Graduate,Yes,255000,204200,12600000,360,1,Rural,Y
537,Male,Yes,0,Graduate,No,613300,390600,32400000,360,1,Urban,Y
538,Male,No,2,Graduate,No,361700,0,10700000,360,1,Rural,Y
539,Male,Yes,0,Not Graduate,No,291700,53600,6600000,360,1,Rural,N
540,Male,Yes,3,Graduate,No,641700,0,15700000,180,1,Rural,Y
541,Female,Yes,1,Graduate,No,460800,284500,14000000,180,1,Rural,Y
542,Female,No,0,Graduate,No,213800,0,9900000,360,0,Rural,N
543,Female,No,1,Graduate,Yes,365200,0,9500000,360,1,Rural,Y
544,Male,Yes,1,Not Graduate,No,223900,252400,12800000,360,1,Urban,Y
545,Female,Yes,0,Not Graduate,No,301700,66300,10200000,360,NA,Rural,Y
546,Male,Yes,0,Graduate,No,276800,195000,15500000,360,1,Rural,Y
547,Male,No,0,Not Graduate,No,335800,0,8000000,36,1,Rural,N
548,Male,No,0,Graduate,No,252600,178300,14500000,360,1,Rural,Y
549,Female,No,0,Graduate,No,500000,0,10300000,360,0,Rural,N
550,Male,Yes,0,Graduate,No,278500,201600,11000000,360,1,Rural,Y
551,Male,Yes,2,Graduate,Yes,663300,0,0,360,0,Rural,N
552,Male,Yes,1,Not Graduate,No,249200,237500,0,360,1,Rural,Y
553,Male,Yes,1,Graduate,No,333300,325000,15800000,360,1,Urban,Y
554,Male,Yes,0,Not Graduate,No,245400,233300,18100000,360,0,Urban,N
555,Male,Yes,0,Graduate,No,359300,426600,13200000,180,0,Rural,N
556,Male,Yes,1,Graduate,No,546800,103200,2600000,360,1,Rural,Y
557,Female,No,0,Graduate,No,266700,162500,8400000,360,NA,Urban,Y
558,Male,Yes,3,Graduate,Yes,1013900,0,26000000,360,1,Rural,Y
559,Male,Yes,0,Graduate,No,388700,266900,16200000,360,1,Rural,Y
560,Female,Yes,0,Graduate,No,418000,230600,18200000,360,1,Rural,Y
561,Male,Yes,2,Not Graduate,No,367500,24200,10800000,360,1,Rural,Y
562,Female,Yes,1,Graduate,Yes,1948400,0,60000000,360,1,Rural,Y
563,Male,Yes,0,Graduate,No,592300,205400,21100000,360,1,Rural,Y
564,Male,No,0,Not Graduate,Yes,580000,0,13200000,360,1,Rural,Y
565,Male,Yes,2,Graduate,No,879900,0,25800000,360,0,Urban,N
566,Male,Yes,0,Not Graduate,No,446700,0,12000000,360,NA,Rural,Y
567,Male,No,0,Graduate,No,333300,0,7000000,360,1,Urban,Y
568,Male,Yes,4,Graduate,No,340000,250000,12300000,360,0,Rural,N
569,Female,No,0,Graduate,No,237800,0,900000,360,1,Urban,N
570,Male,Yes,0,Graduate,No,316600,206400,10400000,360,0,Urban,N
571,Male,Yes,1,Graduate,No,341700,175000,18600000,360,1,Urban,Y
572,Male,Yes,3,Graduate,No,511600,145100,16500000,360,0,Urban,N
573,Male,Yes,2,Graduate,No,1666600,0,27500000,360,1,Urban,Y
574,Male,Yes,2,Not Graduate,No,612500,162500,18700000,480,1,Rural,N
575,Male,Yes,3,Graduate,No,640600,0,15000000,360,1,Rural,N
576,Male,Yes,2,Graduate,No,315900,46100,10800000,84,1,Urban,Y
577,Female,Yes,0,Graduate,No,308700,221000,13600000,360,0,Rural,N
578,Male,No,0,Graduate,No,322900,273900,11000000,360,1,Urban,Y
579,Male,Yes,1,Graduate,No,178200,223200,10700000,360,1,Rural,Y
580,Male,No,0,Graduate,Yes,318200,291700,16100000,360,1,Urban,Y
581,Male,Yes,2,Graduate,No,654000,0,20500000,360,1,Rural,Y
582,Male,No,0,Graduate,No,183600,3383700,9000000,360,1,Urban,N
583,Female,Yes,0,Graduate,No,316600,0,3600000,360,1,Rural,Y
584,Male,Yes,1,Graduate,No,188000,0,6100000,360,NA,Rural,N
585,Male,Yes,1,Graduate,No,278700,191700,14600000,360,0,Rural,N
586,Male,Yes,1,Graduate,No,428300,3.00E+05,17200000,84,1,Rural,N
587,Male,Yes,0,Graduate,No,229700,152200,10400000,360,1,Urban,Y
588,Female,No,0,Not Graduate,No,216500,0,7000000,360,1,Rural,Y
589,Female,No,0,Graduate,No,475000,0,9400000,360,1,Rural,Y
590,Male,Yes,2,Graduate,Yes,272600,0,10600000,360,0,Rural,N
591,Male,Yes,0,Graduate,No,300000,341600,5600000,180,1,Rural,Y
592,Male,Yes,2,Graduate,Yes,600000,0,20500000,240,1,Rural,N
593,Female,No,3,Graduate,Yes,935700,0,29200000,360,1,Rural,Y
594,Male,Yes,0,Graduate,No,385900,330000,14200000,180,1,Rural,Y
595,Male,Yes,0,Graduate,Yes,1612000,0,26000000,360,1,Urban,Y
596,Male,No,0,Not Graduate,No,383300,0,11000000,360,1,Rural,Y
597,Male,Yes,2,Not Graduate,Yes,638300,1.00E+05,18700000,360,1,Rural,N
598,Male,No,3,Graduate,No,298700,0,8800000,360,0,Rural,N
599,Male,Yes,0,Graduate,Yes,996300,0,18000000,360,1,Rural,Y
600,Male,Yes,2,Graduate,No,578000,0,19200000,360,1,Urban,Y
601,Female,No,4,Graduate,No,41600,4166700,35000000,180,NA,Urban,N
602,Male,Yes,0,Not Graduate,No,289400,279200,15500000,360,1,Rural,Y
603,Male,Yes,3,Graduate,No,570300,0,12800000,360,1,Urban,Y
604,Male,No,0,Graduate,No,367600,430100,17200000,360,1,Rural,Y
605,Female,Yes,1,Graduate,No,1200000,0,49600000,360,1,Rural,Y
607,Male,Yes,1,Graduate,No,340000,250000,17300000,360,1,Rural,Y
608,Male,Yes,2,Not Graduate,No,398700,141100,15700000,360,1,Rural,Y
609,Male,Yes,0,Graduate,No,323200,195000,10800000,360,1,Rural,Y
610,Female,No,0,Graduate,No,290000,0,7100000,360,1,Rural,Y
611,Male,Yes,3,Graduate,No,410600,0,4000000,180,1,Rural,Y
612,Male,Yes,1,Graduate,No,807200,24000,25300000,360,1,Urban,Y
613,Male,Yes,2,Graduate,No,758300,0,18700000,360,1,Urban,Y
614,Female,No,0,Graduate,Yes,458300,0,13300000,360,0,Rural,N
